projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
228025;891217;CellMechSensE;coordinator;999978433;LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN;LMU MUENCHEN;HES;false;174806,4;DE;GESCHWISTER SCHOLL PLATZ  1;MUENCHEN;80539;www.uni-muenchen.de;DE811205325;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999978433&projectId=891217&programId=31045243;;;;;;;
228033;892667;TweeTERS;coordinator;996586343;FUNDACION IMDEA NANOCIENCIA;IMDEA NANO;REC;false;160932,48;ES;CIUDAD UNIVERSITARIA DE CANTOBLANCO - CALLE FARADAY 9;MADRID;28049;http://www.nanociencia.imdea.org/;ESG84909068;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=996586343&projectId=892667&programId=31045243;;;;;;;
228028;892451;EcoScan;coordinator;999993274;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT;INRAE;REC;false;184707,84;FR;Rue De L'Universite  147;PARIS CEDEX 07;75338;www.inra.fr;FR57180070039;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993274&projectId=892451&programId=31045243;;;;;;;
228027;891826;SEAFLOWER;partner;999538247;THE UNIVERSITY OF WESTERN AUSTRALIA;IGRG, UWA;HES;false;;AU;Stirling Higway 35;CRAWLEY;6009;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999538247&projectId=891826&programId=31045243;;;;;;;
228027;891826;SEAFLOWER;coordinator;999993953;ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;UNIBO;HES;false;257209,92;IT;VIA ZAMBONI 33;BOLOGNA;40126;www.unibo.it;IT01131710376;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993953&projectId=891826&programId=31045243;;;;;;;
228030;892010;YouthInMuseums;coordinator;999885701;INSTITUTO DE CIENCIAS SOCIAIS;ICS-ULisboa;HES;false;239722,56;PT;AV PROF ANIBAL DE BETTENCOURT 9;LISBOA;1600 189;www.ics.ulisboa.pt;PT506101347;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999885701&projectId=892010&programId=31045243;;;;;;;
228029;892403;LivingTogether;coordinator;999852721;THE UNIVERSITY OF SUSSEX;UOS;HES;false;287976;UK;SUSSEX HOUSE FALMER;BRIGHTON;BN1 9RH;http://www.sussex.ac.uk;GB692712320;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999852721&projectId=892403&programId=31045243;;;;;;;
228029;892403;LivingTogether;partner;898371806;MOSIM AND SALIM RESEARCH INSTITUTE;Mosim and Salim Research Institute(Center for the Web of Life);REC;false;;KR;19 SEOUN RO SEOCHO GU;SEOUL;6732;;KR2018208260;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=898371806&projectId=892403&programId=31045243;;;;;;;
228053;899155;RASATaC;coordinator;999903064;TURUN YLIOPISTO;UTU;HES;false;150000;FI;YLIOPISTONMAKI;Turku;20014;www.utu.fi;FI02458963;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999903064&projectId=899155&programId=31045243;;;;;;;
228026;891493;GeMeTIC;coordinator;999975814;UNIVERSITETET I OSLO;UiO;HES;false;202158,72;NO;PROBLEMVEIEN 5-7;OSLO;313;www.uio.no;NO971035854MVA;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999975814&projectId=891493&programId=31045243;;;;;;;
228035;893435;MITO;coordinator;998331858;LUXEMBOURG INSTITUTE OF HEALTH;LIH;REC;false;178320;LU;VAL FLEURI 84;LUXEMBOURG;1526;https://www.lih.lu/;LU14472612;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998331858&projectId=893435&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;998189947;ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBARDIA E DELL'EMILIA ROMAGNA BRUNO UBERTINI;IZSLER;REC;false;207525;IT;VIA ANTONIO BIANCHI 9;BRESCIA;25124;http://www.izsler.it/;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998189947&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999848938;PHILIPPS UNIVERSITAET MARBURG;UMR;HES;false;74562,5;DE;BIEGENSTRASSE 10;MARBURG;35037;www.uni-marburg.de;DE112590692;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999848938&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999904713;THE SECRETARY OF STATE FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS;DEFRA;PUB;false;626696,25;UK;Area 1A, Nobel House, Smith Square 17;LONDON;SW1P 3JR;;GB888800181;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999904713&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;998049976;SMORODINTSEV RESEARCH INSTITUTE OF INFLUENZA OF THE MINISTRY OF HEALTH OF THE RUSSIAN FEDERATION;SRII;REC;false;92062,5;RU;PROFESSORA POPOVA STREET 15/17;ST PETERSBURG;197376;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998049976&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999997833;INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE;INSERM;REC;false;116142,5;FR;RUE DE TOLBIAC 101;PARIS;75654;www.inserm.fr;FR31180036048;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999997833&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999494015;JULIUS KUHN-INSTITUT BUNDESFORSCHUNGSINSTITUT FUR KULTURPFLANZEN;JKI;REC;false;244008,75;DE;ERWIN-BAUR-STRASSE  27;QUEDLINBURG;6484;www.jki.bund.de;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999494015&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999515549;ROBERT KOCH-INSTITUT;RKI;REC;false;165337,5;DE;Nordufer 20;Berlin;13353;www.rki.de;DE165893430;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999515549&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999483151;FRIEDRICH LOEFFLER INSTITUT - BUNDESFORSCHUNGSINSTITUT FUER TIERGESUNDHEIT;FLI;REC;false;423531,25;DE;SUDUFER 10;GREIFSWALD-INSEL RIEMS;17493;www.fli.bund.de;DE811354798;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999483151&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999907914;UNIVERSITAT BASEL;UNIBAS;HES;false;296862,5;CH;PETERSPLATZ 1;BASEL;4051;www.unibas.ch;CHE115244907MWST;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999907914&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;997383489;ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE;IZSVE;OTH;false;239937,5;IT;VIALE DELL UNIVERSITA 10;LEGNARO;35020;www.izsvenezie.it;IT00206200289;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997383489&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;998706957;NEMZETI NEPEGESZSEGUGYI KOZPONT;NNK;REC;false;131246,25;HU;ALBERT FLORIAN UT 2-6;BUDAPEST;1097;;HU15598787;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998706957&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999461714;HELLENIC PASTEUR INSTITUTE;HPI;REC;false;35343,75;EL;Vassilissis Sofias Avenue 127;ATHENS;11521;www.pasteur.gr;EL090030420;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999461714&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999542806;INSTITUT PASTEUR DE DAKAR;IPD;REC;false;52062,5;SN;AVENUE PASTEUR 36;DAKAR;DAKAR;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999542806&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;910590314;EUROPEAN RESEARCH INFRASTRUCTURE ON HIGHLY PATHOGENIC AGENTS;ERINHA;REC;false;92062,5;BE;MONTOYERSTRAAT 10;BRUSSEL;1000;;BE0679481238;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=910590314&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;986454887;Department of Health;DH;REC;false;253971,25;UK;Quarry House, Quarry Hill;Leeds;LS2 7UE;www.dh.gov.uk;GB888815064;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=986454887&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;997513081;FONDATION MERIEUX;FMER;REC;false;92456,25;FR;RUE BOURGELAT  17;LYON;69227;http://www.fondation-merieux.org;FR72308718816;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997513081&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;993392036;UNIVERSITY OF FLORIDA;UF;HES;false;207062,5;US;GRINTER HALL 223;GAINESVILLE;32611 5500;http://www.ufl.edu;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=993392036&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999991431;RIJKSINSTITUUT VOOR VOLKSGEZONDHEID EN MILIEU;RIVM;REC;false;495918,75;NL;Antonie Van Leeuwenhoeklaan  9;BILTHOVEN;3721 MA;www.rivm.nl;NL821772302B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999991431&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999979500;CONSIGLIO NAZIONALE DELLE RICERCHE;CNR;REC;false;214666,25;IT;PIAZZALE ALDO MORO 7;ROMA;185;www.cnr.it;IT02118311006;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999979500&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999993080;INSTITUT PASTEUR;IP;REC;false;593437,5;FR;RUE DU DOCTEUR ROUX 25-28;PARIS CEDEX 15;75724;http://www.pasteur.fr;FR65775684897;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993080&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999992692;CHARITE - UNIVERSITAETSMEDIZIN BERLIN;CUB;HES;false;508300;DE;Chariteplatz 1;BERLIN;10117;www.charite.de;DE228847810;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999992692&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999993565;CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC;CIRAD;REC;false;109800;FR;RUE SCHEFFER 42;PARIS;75016;www.cirad.fr;FR84331596270;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993565&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;998595989;LEIBNIZ-INSTITUT DSMZ-DEUTSCHE SAMMLUNG VON MIKROORGANISMEN UND ZELLKULTUREN GMBH;DSMZ;REC;false;637328,75;DE;INHOFFENSTRASSE 7B;BRAUNSCHWEIG;38124;www.dsmz.de;DE114815269;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998595989&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999511572;COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION;CSIRO;REC;false;347250;AU;CLUNIES ROSS STREET CSIRO BLACK MOUNTAIN SCIENCE AND INNOVATION PARK;ACTON ACT;2601;www.csiro.au;AU41687119230;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999511572&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999471317;ISTITUTO NAZIONALE PER LE MALATTIE INFETTIVE LAZZARO SPALLANZANI-ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO;INMI;REC;false;187893,75;IT;Via  Portuense, 292;ROMA;149;www.inmi.it;IT05080991002;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999471317&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;998377157;THE PIRBRIGHT INSTITUTE LBG;TPI;REC;false;250558,75;UK;ASH ROAD PIRBRIGHT;WOKING;GU24 0NF;www.pirbright.ac.uk;GB491452831;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998377157&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;937903768;WUHAN INSTITUTE OF VIROLOGY, CHINESE ACADEMY OF SCIENCES;WIV;REC;false;88433,75;CN;XIAOHONGSHAN MIDDLE DISTRICT 44 SHUIGUOHU STREET WUCHANG DISTRICT HUBEI;WUHAN;430071;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=937903768&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999988424;ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM;ERASMUS MC;HES;false;236681,25;NL;DR MOLEWATERPLEIN 40;ROTTERDAM;3015  GD;www.erasmusmc.nl;NL801427228B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999988424&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;coordinator;955518483;UNIVERSITE D'AIX MARSEILLE;AMU;HES;false;3012556,25;FR;Boulevard Charles Livon   58;Marseille;13284;;FR84130015332;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=955518483&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999993274;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT;INRA;REC;false;308172,5;FR;Rue De L'Universite  147;PARIS CEDEX 07;75338;www.inra.fr;FR57180070039;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993274&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999468795;BERNHARD-NOCHT-INSTITUT FUER TROPENMEDIZIN;BNI;REC;false;304775;DE;BERNHARD NOCHT STRASSE 74;HAMBURG;20359;www.bni.uni-hamburg.de;DE258000180;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999468795&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;918583890;BIOMEDICINSKE CENTRUM SLOVENSKEJ AKADEMIE VIED;BMC SAS;REC;false;304517,5;SK;DUBRAVSKA CESTA 9;BRATISLAVA;845 05;;SK2120169865;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=918583890&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;983552356;AGENCE NATIONALE DE LA SECURITE SANITAIRE DE L ALIMENTATION DE L ENVIRONNEMENT ET DU TRAVAIL;ANSES;REC;false;67462,5;FR;14 RUE PIERRE ET MARIE CURIE;MAISONS ALFORT;94700;www.anses.fr;FR54130012024;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=983552356&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;949789954;FOLKHALSOMYNDIGHETEN;FOHM;OTH;false;178937,5;SE;NOBELS VAG 18;SOLNA;171 82;http://folkhalsomyndigheten.se;SE202100654501;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=949789954&projectId=871029&programId=31045243;;;;;;;
227025;871029;EVA-GLOBAL;participant;999923240;UNIVERZA V LJUBLJANI;UL;HES;false;405187,5;SI;KONGRESNI TRG  12;LJUBLJANA;1000;http://www.uni-lj.si;SI54162513;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999923240&projectId=871029&programId=31045243;;;;;;;
228034;892630;THEIA;coordinator;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;CNRS;REC;false;196707,84;FR;RUE MICHEL ANGE 3;PARIS;75794;www.cnrs.fr;FR40180089013;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999997930&projectId=892630&programId=31045243;;;;;;;
228032;893181;MBL-Fermions;coordinator;999978433;LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN;LMU MUENCHEN;HES;false;162806,4;DE;GESCHWISTER SCHOLL PLATZ  1;MUENCHEN;80539;www.uni-muenchen.de;DE811205325;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999978433&projectId=893181&programId=31045243;;;;;;;
228031;893017;IDENTIS;coordinator;999897341;UNIVERSITA CA' FOSCARI VENEZIA;UNIVE;HES;false;257209,92;IT;DORSODURO  3246;VENEZIA;30123;www.unive.it;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999897341&projectId=893017&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999963010;AIRBUS;A-SAS;PRC;false;226129,67;FR;2 ROND POINT EMILE DEWOITINE;BLAGNAC;31700;www.airbus.com;FR89383474814;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999963010&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;998956635;AUSTRO CONTROL OSTERREICHISCHE GESELLSCHAFT FUR ZIVILLUFTFAHRT MBH;ACG/COOPANS;PRC;false;40576,94;AT;WAGRAMER STRASSE 19;WIEN;1220;;ATU37259408;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998956635&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;995562023;POLSKA AGENCJA ZEGLUGI POWIETRZNEJ;PANSA (B4);REC;false;36137,65;PL;UL. WIEZOWA 8;WARSZAWA;02 147;;PL5222838321;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=995562023&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999959615;SAAB AKTIEBOLAG;SAB;PRC;false;15619,94;SE;.;LINKOPING;581 88;www.saabgroup.com;SE556036079301;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999959615&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;941767472;HUNGAROCONTROL MAGYAR LEGIFORGALMISZOLGALAT ZARTKORUEN MUKODO RESZVENYTARSASAG;HC (FSP);PRC;false;45172,07;HU;IGLO UTCA 33 35;BUDAPEST;1185;;HU13851325;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=941767472&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;954552363;RIZENI LETOVEHO PROVOZU CESKE REPUBLIKY STATNI PODNIK;ANS CR (B4);PRC;false;;CZ;JENEC NAVIGACNI 787;JENEC;252 61;;CZ699004742;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=954552363&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999987066;STICHTING NATIONAAL LUCHT- EN RUIMTEVAARTLABORATORIUM;NLR;REC;false;;NL;Anthony Fokkerweg 2;AMSTERDAM;1059CM;www.nlr.nl;NL002760551B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999987066&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999594992;FLUGHAFEN ZURICH AG;ZRH (SEAC2020);PRC;false;;CH;FLUGHAFEN KLOTEN;ZURICH;8058;;CHE101921104MWST;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999594992&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;984282281;SWEDAVIA AB;Swed (SEAC2020);PRC;false;;SE;SWEDAVIA;STOCKHOLM ARLANDA;190 45;www.swedavia.se;SE556797081801;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=984282281&projectId=874475&programId=31045243;;;;;;;
