projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
226533;874475;PJ20-W2 AMPLE;participant;958184334;SKYGUIDE, SA SUISSE POUR LES SERVICES DE LA NAVIGATION AERIENNE CIVILS ET MILITAIRES;SKYGUIDE;PRC;false;36137,65;CH;ROUTE DE PRE BOIS 15-17;GENEVA;1215;www.skyguide.ch;CH514204;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=958184334&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;928673636;DIRECTION DES SERVICES DE LA NAVIGATION AERIENNE;DSNA;PUB;false;120609,42;FR;50 RUE HENRY FARMAN;PARIS;75720;;FR29120064019;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928673636&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;998197513;ENAV SPA;ENAV;PRC;false;71175,93;IT;VIA SALARIA 716;ROMA;138;;IT02152021008;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998197513&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;997701843;ENAIRE;ENAIRE;PUB;false;139786,77;ES;AVENIDA DE ARAGON S/N BLOQUE 330, PORTAL 2 PARQUE EMPRESARIAL LAS MERCEDES;MADRID;28022;http://www.aena.es;ESQ2822001J;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997701843&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;944977784;FLUGHAFEN MUNCHEN GMBH;MUC (SEAC2020);PRC;false;9034,41;DE;NORDALLEE 25;MUNCHEN;85356;;DE129352365;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=944977784&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;919915991;VALSTYBES IMONE ORO NAVIGACIJA;ON (B4);PRC;false;36137,65;LT;RODUNIOS KEL 2;VILNIAUS;2188;;LT100604610;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=919915991&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;coordinator;999483733;EUROCONTROL - EUROPEAN ORGANISATION FOR THE SAFETY OF AIR NAVIGATION;EUROCONTROL;REC;false;;BE;Rue de la Fusée 96;BRUXELLES;1130;www.eurocontrol.int;NOTAPPLICABLE;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999483733&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;923069461;ATOS BELGIUM;ATOS (FSP);PRC;false;;BE;DA VINCILAAN 5;ZAVENTEM;1930;;BE0401848135;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=923069461&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;924128216;CROATIA CONTROL, CROATIAN AIR NAVIGATION SERVICES LTD;CCL/COOPANS;PRC;false;;HR;RUDOLFA FIZIRA 2;VELIKA GORICA;10410;;HR33052761319;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=924128216&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;910945140;SINTEF AS;SINTEF;REC;false;15617,11;NO;STRINDVEGEN 4;TRONDHEIM;7034;;NO919303808MVA;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=910945140&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;957080474;AEROPORTS DE PARIS SA;ADP (SEAC2020);PRC;false;;FR;1 RUE DE FRANCE;TREMBLAY-EN-FRANCE;93290;www.aeroportsdeparis.fr;FR33552016628;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=957080474&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999981731;DEUTSCHES ZENTRUM FUER LUFT - UND RAUMFAHRT EV;DLR;REC;false;32265,85;DE;Linder Hoehe;KOELN;51147;www.dlr.de;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999981731&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;938275375;AVINOR AS;Avinor-SEAC2020;PRC;false;18068,83;NO;DRONNING EUFEMIAS GATE 6;OSLO;2061;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=938275375&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;998307317;FREQUENTIS AG;FRQ;PRC;false;;AT;Innovationsstrasse  1;WIEN;1100;;ATU14715600;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998307317&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999959130;INDRA SISTEMAS SA;INDRA;PRC;false;91773,27;ES;AVENIDA DE BRUSELAS 35;ALCOBENDAS MADRID;28108;www.indra.es;ESA28599033;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999959130&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;968723384;HEATHROW AIRPORT LIMITED;HAL (SEAC2020);PRC;false;9034,41;UK;NELSON ROAD THE COMPASS CENTRE HOUNSLOW;LONDON;TW6 2GW;www.heathrowairport.com;GB927365404;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=968723384&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999961555;THALES LAS FRANCE SAS;THALES AIR SYS;PRC;false;51624,9;FR;AVENUE GAY LUSSAC 2;ELANCOURT;78990;www.thalesgroup.com;FR15319159877;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999961555&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;997542763;NATS (EN ROUTE) PUBLIC LIMITED COMPANY;NATS;PRC;false;112930,16;UK;4000 PARKWAY WHITELEY;FAREHAM;PO15 7FL;www.nats.co.uk;GB440379456;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997542763&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;957126452;LETOVE PREVADZKOVE SLUZBY SLOVENSKEJ REPUBLIKY, STATNY PODNIK;LPS SR (B4);PRC;false;;SK;IVANSKA CESTA 93;BRATISLAVA;823 07;;SK2020244699;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=957126452&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;927009019;UDARAS EITLIOCHTA NA HEIREANN THE IRISH AVIATION AUTHORITY;IAA/COOPANS;PRC;false;;IE;D'OLIER STREET 11-12 THE TIMES BUILDING;DUBLIN;D02 T449;;IE8211082B;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=927009019&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;998627417;LEONARDO - SOCIETA PER  AZIONI;LDO;PRC;false;74211,5;IT;PIAZZA MONTE GRAPPA 4;ROMA;195;www.finmeccanica.com;IT00881841001;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998627417&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;923671249;NAVIAIR;Naviair/COOPANS;PRC;false;29116,78;DK;NAVIAIR ALLE 1;KASTRUP;2770;;DK26059763;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=923671249&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;942346077;LUFTFARTSVERKET;LFV/COOPANS;PUB;false;13551,62;SE;HOSPITALSGATAN 30;NORRKOPING;602 27;;SE202100079501;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=942346077&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999936820;DFS DEUTSCHE FLUGSICHERUNG GMBH;DFS;PRC;false;114184,26;DE;AM DFS CAMPUS 10;LANGEN;63225;www.dfs.de;DE114110232;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999936820&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;997604649;AIRTEL ATN LIMITED;AIR;PRC;false;;IE;2 HARBOUR SQUARE CROFTON ROAD;DUN LOAGHAIRE DUBLIN;A96D6R0;www.airtel-atn.com;IE8287698U;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997604649&projectId=874475&programId=31045243;;;;;;;
226533;874475;PJ20-W2 AMPLE;participant;999931388;SCHIPHOL NEDERLAND B.V.;SNBV (SEAC2020);PRC;false;9034,41;NL;EVERT VAN DE BEEKSTRAAT 202;LUCHTHAVEN SCHIPHOL;1118CP;;NL810336406B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999931388&projectId=874475&programId=31045243;;;;;;;
224295;848951;EpiShuttle 2.0;coordinator;921019463;EPIGUARD AS;Epiguard AS;PRC;false;2495500;NO;TORSNESVEIEN 210;GAMLE FREDRIKSTAD;1634;;NO915685625MVA;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=921019463&projectId=848951&programId=31045243;;;;;;;
223867;851644;ICARUS-SW;participant;998959642;UNIVERSIDAD DE BURGOS;UBU;HES;false;19500;ES;HOSPITAL DEL REY;BURGOS;9001;www.ubu.es;ESQ0968272E;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998959642&projectId=851644&programId=31045243;;;;;;;
223867;851644;ICARUS-SW;coordinator;997751992;BRIMATECH SERVICES GMBH;BRI;PRC;false;55500;AT;LOTHRINGERSTRASSE 14/3;WIEN;1030;www.brimatech.at;ATU64146524;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997751992&projectId=851644&programId=31045243;;;;;;;
223867;851644;ICARUS-SW;participant;984454068;EASN TECHNOLOGY INNOVATION SERVICES BVBA;EASN TIS;PRC;false;25000;BE;TERWEIDENSTRAAT  28;BUDINGEN;3440;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=984454068&projectId=851644&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999979888;TECHNISCHE UNIVERSITAET WIEN;TU WIEN;HES;false;9343,75;AT;KARLSPLATZ 13;WIEN;1040;www.tuwien.ac.at;ATU37675002;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999979888&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;998263958;STICHTING EUROPEANA;EF;OTH;false;80242;NL;PRINS WILLEM ALEXANDERHOF 5;DEN HAAG;2595 BE;www.europeana.eu;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998263958&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999995408;FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG;FAU;HES;false;38414,25;DE;SCHLOSSPLATZ 4;ERLANGEN;91054;www.uni-erlangen.de;DE132507686;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999995408&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999572294;UNIWERSYTET WARSZAWSKI;UNIWARSAW;HES;false;14015;PL;KRAKOWSKIE PRZEDMIESCIE 26/28;WARSZAWA;00 927;www.uw.edu.pl;PL5250011266;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999572294&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999902870;UNIVERSITEIT ANTWERPEN;UANTWERP;HES;false;32726,38;BE;PRINSSTRAAT 13;ANTWERPEN;2000;www.ua.ac.be;BE0257216482;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999902870&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;918984985;ICONEM;ICO;PRC;false;32968,75;FR;6 RUE JULES CHAPLAIN;PARIS;75006;;FR04792857401;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=918984985&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999518362;KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN - KNAW;KNAW;OTH;false;14015;NL;KLOVENIERSBURGWAL 29 HET TRIPPENHUIS;AMSTERDAM;1011 JV;www.knaw.nl;NL002958697B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999518362&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999986096;UNIVERSITEIT GENT;UGent;HES;false;9343,75;BE;SINT PIETERSNIEUWSTRAAT 25;GENT;9000;http://www.ugent.be;BE0248015142;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999986096&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;960114440;International Centre for Archival Research (ICARUS);ICARUS;REC;false;74351,75;AT;Erdberger Lände   6/7;Vienna;1030;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=960114440&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999984059;FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.;Fraunhofer;REC;false;9343,75;DE;HANSASTRASSE 27C;MUNCHEN;80686;www.fraunhofer.de;DE129515865;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999984059&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999586359;INSTYTUT CHEMII BIOORGANICZNEJ POLSKIEJ AKADEMII NAUK;PSNC;REC;false;14016,25;PL;NOSKOWSKIEGO 12-14;POZNAN;61 704;www.man.poznan.pl;PL7770002062;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999586359&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;coordinator;999973971;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;EPFL;HES;false;137202,98;CH;BATIMENT CE 3316 STATION 1;LAUSANNE;1015;www.epfl.ch;CHE116075613TVA;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999973971&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;904780887;UBISOFT ENTERTAINMENT;UBI;PRC;false;28906,25;FR;107 AVENUE HENRI FREVILLE;RENNES;35200;;FR34335186094;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=904780887&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999897341;UNIVERSITA CA' FOSCARI VENEZIA;UNIVE;HES;false;44101,38;IT;DORSODURO  3246;VENEZIA;30123;www.unive.it;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999897341&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;911252436;NAVER FRANCE;NAVER;PRC;false;11680;FR;89 RUE REAUMUR;PARIS;75002;;FR61830377990;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=911252436&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999848453;TECHNISCHE UNIVERSITAT DORTMUND;TUDO;HES;false;9343,75;DE;AUGUST SCHMIDT STRASSE 4;DORTMUND;44227;www.tu-dortmund.de;DE811258273;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999848453&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999959130;INDRA SISTEMAS SA;INDRA;PRC;true;;ES;AVENIDA DE BRUSELAS 35;ALCOBENDAS MADRID;28108;www.indra.es;ESA28599033;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999959130&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;995654076;FIZ KARLSRUHE - LEIBNIZ-INSTITUT FUR INFORMATIONSINFRASTRUKTUR GMBH;FIZ;REC;false;14015;DE;HERMANN-VON-HELMHOLTZ-PLATZ 1;EGGENSTEIN-LEOPOLDSHAFEN;76344;;DE143582161;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=995654076&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999886574;BAR ILAN UNIVERSITY;BIU;HES;false;14016,25;IL;BAR ILAN UNIVERSITY CAMPUS;RAMAT GAN;52900;www.biu.ac.il;IL580063683;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999886574&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;914358764;QIDENUS GROUP GMBH;QG;PRC;false;9343,75;DE;PERLEBERGER STRASSE 42 C 10;BERLIN;10559;;DE302404693;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=914358764&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;943444408;ECOLE NATIONALE DES CHARTES;ENC;HES;false;9343,75;FR;65 RUE DE RICHELIEU;PARIS 2;75002;;FR42197534787;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=943444408&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999878620;UNIVERSITE DU LUXEMBOURG;UNILU;HES;false;18687,5;LU;2 AVENUE DE L'UNIVERSITE;ESCH-SUR-ALZETTE;4365;http://wwwen.uni.lu;LU19805732;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999878620&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999628263;OSTERREICHISCHE NATIONALBIBLIOTHEK;ONB;REC;false;28906,25;AT;JOSEFSPLATZ 1;WIEN;1015;;ATU54091307;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999628263&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999646111;INSTITUT NATIONAL DE L'INFORMATION GEOGRAPHIQUE ET FORESTIERE;IGN;REC;false;58320,5;FR;AVENUE DE PARIS 73;SAINT MANDE;94160;;FR18180067019;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999646111&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;904539842;INDRA SOLUCIONES TECNOLOGIAS DE LA INFORMACION SL;INDRA;PRC;false;32968,75;ES;AVDA BRUSELAS, NUM. 35;ALCOBENDAS - (MADRID);28108;;ESB88018098;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=904539842&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999993953;ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;UNIBO;HES;false;22812,5;IT;VIA ZAMBONI 33;BOLOGNA;40126;www.unibo.it;IT01131710376;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993953&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999985805;UNIVERSITEIT UTRECHT;UNIV.UTRECHT;HES;false;11680;NL;HEIDELBERGLAAN 8;UTRECHT;3584 CS;www.uu.nl;NL001798650B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999985805&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;953557434;PICTURAE BV;Picturae;PRC;false;20781,25;NL;JAN DUIKERWEG 14;HEERHUGOWAARD;1703 DH;;NL851010209B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=953557434&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999968345;STICHTING NEDERLANDS INSTITUUT VOORBEELD EN GELUID;NISV;OTH;false;37031,25;NL;MEDIA PARKBOULEVARD 1;HILVERSUM;1200 BB;;NL804548535B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999968345&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;997491741;CENTRE DE VISIO PER COMPUTADOR;CVC;REC;false;14016,25;ES;DP INFORMATICA UAB BELLATERRA CERDANYOLA;BARCELONA;8193;http://www.cvc.uab.es;ESQ5856375J;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997491741&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;CNRS;REC;false;9343,75;FR;RUE MICHEL ANGE 3;PARIS;75794;www.cnrs.fr;FR40180089013;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999997930&projectId=820323&programId=31045243;;;;;;;
221493;820323;Time Machine;participant;999977366;TECHNISCHE UNIVERSITEIT DELFT;TU Delft;HES;false;9343,75;NL;STEVINWEG 1;DELFT;2628 CN;www.tudelft.nl;NL001569569B01;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999977366&projectId=820323&programId=31045243;;;;;;;
